name,image_url,description,cuisine,course,diet,prep_time,ingredients,instructions
Muri Masala Recipe Kolkata Style Used in Jhal Muri,https://www.archanaskitchen.com/images/archanaskitchen/BasicRecipes_Spice_Powders/Kolkata_Jhaal_Muri_Moodi_Masala_Recipe-1.jpg,"Kolkata Muri Masala or Moodi Masala is a special spice mix that is used in making Jhaal Muri, an delicious crunchy street food snack, flavored with mustard oil. The street vendors never tell you the actual recipe, they will just sell you the powder, but over the years, I tasted the powder each time and finally dissected the recipe and got it 99% close to the original one.",Bengali Recipes,Snack,Vegetarian,Total in 30 M,"

							 		1/4 cup Cumin seeds (Jeera) 

							 		1/4 cup Coriander (Dhania) Seeds 

							 		1/8 cup Black Salt (Kala Namak) 

							 		1/8 cup White pepper powder 

							 		1/8 cup Amchur (Dry Mango Powder) 

							 		1/8 cup Red Chilli powder 

							 		10 Bay leaves (tej patta) 
","To begin making the Kolkata Muri Malasal/ Moodi Masala Recipe, roast the cumin and coriander seeds until browned well. Roast on low heat, so it does not burn and turn black. Keep aside.Next roast the bay leaves until crisp and you can smell aromas coming through. When you crumble the bay leaves with your hands it will crush immediately.Once the ingredients are well roasted, combine all the roasted ingredients with the rest of the ingredients, add it to a food grinder and blend into make a fine powder.The Kolkata Muri Masala / Moodi Masala Recipe is ready to be used in a variety of ways, like in Calcutta Ghugni Recipe (Tangy Yellow Peas Curry) and Jhaal Muri/Moodi Recipe (Calcutta Style Street Food With Spicy Puffed Rice)."
Homemade Dhansak Masala Powder Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/oct-14/Home_Made_Dhansak_Masala_Powder-2.jpg,Homemade Dhansak Masala Recipe is a special spice powder mix famous among the Parsi Cuisine. It is a blend of naturally grown spices that are available in India. The aromatic Indian spices are ground directly in a blender in order to keep the fresh smell intact and the ground spice can be used for various authentic dishes made in Parsi cuisine. ,Parsi Recipes,,,Total in 10 M,"

							 		250 grams Coriander (Dhania) Seeds 

							 		50 grams Dry Red Chillies 

							 		50 grams Cloves (Laung) 

							 		25 grams Cardamom (Elaichi) Pods/Seeds 

							 		50 grams Cinnamon Stick (Dalchini) 

							 		25 grams Black cardamom (Badi Elaichi) 

							 		25 grams Whole Black Peppercorns 

							 		25 grams Bay leaf (tej patta) 

							 		25 grams Star anise 

							 		25 grams Mustard seeds (Rai/ Kadugu) 

							 		25 grams Poppy seeds 

							 		5 grams Nutmeg powder 
",To begin making the Home Made Dhansak Masala Recipe by combining all the ingredients in a blender.Blend all the spice into a smooth powder. Keep the home made spice powder in an air-tight jar for a long lasting life.You can use the Home Made Dhansak Masala recipe for making Ringan Ravaiya Recipe (Parsi Style Stuffed Eggplant Recipe). 
Achari Masala Powder Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Achari_Masala_Recipe.jpg,"Achari Masala Recipe will be one of the Spice powders that you need to store it in your cupboard. It has a perfect blend of spices like fenugreek seeds, fennel seeds, cumin seeds, mustard seeds, coriander seeds, onion seeds and dry red chilli. The masala mix is quiet pungent and is strong. This masala can be used in most the pickles or even curries and side dish to create distinct flavor and taste.",North Indian Recipes,,,Total in 15 M,"

							 		2 tablespoons Coriander (Dhania) Seeds 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Kalonji (Onion Nigella Seeds) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Fennel seeds (Saunf) 

							 		4 Dry Red Chillies 
","To begin making the Achari Masala Recipe, we will dry roast all the ingredients over a flat skillet.After dry roasting the spices, grind the entire mixture in a grinder to a smooth powder.Transfer Achari Masala Recipe in an airtight container for a later use. This can stay good for at least a month.You can use the Achari Masala powder for Achari Paneer Tikka Recipe or Achari Paratha Roll Recipe to make a delicious meal."
Cucumber Neer Dosa Recipe-Rice Pancake ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Cucumber_Neer_Dosa_Recipe_Cucumber_Rice_Pancake_Recipe.jpg,"Cucumber Neer Dosa Recipe is a twist to the traditional Neer Dosa which is made in the households of Mangalore. Traditionally it is just the rice which is soaked and made into the batter along with coconut milk, but in this recipe we have used cucumber to give a fresh and unique flavor.",Mangalorean,South Indian Breakfast,Vegetarian,Total in 195 M,"

							 		1 cup Dosa rice							 		, soaked for 2 hours							 	

							 		1 Cucumber							 		, cut into chunks							 	

							 		1/2 cup Fresh coconut							 		, grated							 	

							 		1 tablespoon Salt 

Oil							 		, for cooking 							 	
","To begin making the Cucumber Neer Dosa Recipe, wash the rice and soak it in water for 2 hours. Grind the coconut and cucumber in a mixer to a smooth paste.Next grind the rice separately by adding 1/2 cup water into a very smooth paste.Mix rice and cucumber batters together in one bowl and season with salt.If the batter is too thick add enough water such that the dosa batter has a smooth flowing consistency. The consistency of the batter should be such that the batter has a very thin coating at the back of the spoon and not a thick coating. If it forms a thick later, then the you need to add a little more water. Check the salt levels again and adjust to suit your taste. Cucumber Neer Dosa batter is now readyNeer Dosa is made very similar to the Rava Dosa.To make the Neer Dosa, we don’t spread it on the pan like a regular dosa. We pour the dosa batter on the hot pan and it will spread itself creating holes.Note: It is a good idea to use an iron pan, as the texture and the softness of the dosa comes out perfectly with an iron pan.To begin, make sure you have a greased and seasoned iron pan. Grease and preheat the iron pan until it is sizzling hot. When you sprinkle water on the pan; the water will sizzle and evaporate.Once you have the right heat on the pan; pour a ladle of the batter in a circular motion starting from the outer edges. The batter will sizzle and flow to spread itself. Fill in the batter where there are gap, but do allow the dosa to have a few tiny holes. There is no need to sprinkle oil to cook the Neer Dosa.Neer Dosa cooks very quickly; when you notice the top of the dosa is no longer raw, the Neer Dosa is cooked and has a rich white colour. The cooking process will take less than 30 seconds per dosa.Slide a flat spatula from the sides of the pan and fold the Neer Dosa into a half and then into another half to form a triangle. Place the Neer dosa on a platter and continue to make Neer Dosa’s the similar way.Make sure you place the Neer Dosa’s away from each other when they are hot; as they tend to stick to each other. Once they cool down, you can place them one on top of the other; into a covered bowl and serve warm.Serve the Cucumber Neer Dosa Recipe with Kori Gassi and end it with a dessert  Konkani Style Mande/Mandige/Chavde Recipe."
Mangalorean Style Bafat Pito Recipe-Bafat/Bafad Spice Mix Powder ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mangalorean_Style_Bafat_Pito_Recipe_BafatBafad_Spice_Mix_Powder_Recipe_.jpg,Mangalorean Style Bafat Pito Recipe-Bafat/Bafad Spice Mix Powder which is a very famous among the catholic community in the Mangalorean cuisine. It is a blend of 6 spice mix to create an authentic spice mix powder that is used generously by the Catholics to prepare the most famous dish called the “Dukramas” which is a Pork dish.,Mangalorean,,,Total in 10 M,"

							 		10 Byadagi Dried Chillies 

							 		10 Dry Red Chillies 

							 		4 tablespoon Coriander (Dhania) Seeds 

							 		2 tablespoon Whole Black Peppercorns 

							 		2 tablespoon Cumin seeds (Jeera) 

							 		4 tablespoons Turmeric powder (Haldi) 
","To begin making the Mangalorean Style Bafat Pito Recipe by combining all the ingredients (dry red chillies, coriander seeds, peppercorns, cumin seeds and turmeric) together in a mixer.Grind them into a fine smooth spice powder and add it into a storing jar.Use the Mangalorean Style Bafat Pito Recipe in dish like Mangalorean Style Vaingana Mashinga Sange Sukhe/Sukka Recipe. "
Konkani Style Koli Masala Recipe- Spice Mix ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Koli_Masala_Recipe.jpg,Konkani Style Koli Masala Recipe it is one of the spice mix which has 18 odd spice that are roasted and blend to form a spice mix which has a strong and sharp flavor. Koli’s are basically the community of fishermen folks who live in the western coast region of India. This spice mix is made in order to add some flavor and body to their sparse fish that they eat every day or even into their vegetable curries. This spice is better when it is marinated with few grated coconut into any meats.,Konkan,,,,"

							 		10 Dry Red Chilli							 		, (sankeshwari dry red chilli)							 	

							 		5 Byadagi Dried Chillies 

							 		1 tablespoon Coriander (Dhania) Seeds 

							 		2 tablespoon Fennel seeds (Saunf) 

							 		1 tablespoon Cumin seeds (Jeera) 

							 		1 tablespoon Ajwain (Carom seeds) 

							 		1 tablespoon Whole Black Peppercorns 

							 		3 Mace (Javitri) 

							 		2 inch Cinnamon Stick (Dalchini) 

							 		5 Cloves (Laung) 

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		1 Black cardamom (Badi Elaichi) 

							 		1 tablespoon Poppy seeds 

							 		1 tablespoon Mustard seeds (Rai/ Kadugu) 

							 		2 Bay leaf (tej patta) 

							 		2 Kalpasi flower (Stone flower) 

							 		2 Star anise 

							 		1 tablespoon Nutmeg powder 

							 		1 pinch Asafoetida (hing) 
",We begin making the Konkani Style Koli Masala Recipe by dry roasting all the spices on a flat skillet.Cool it down and then grind them into a smooth mixture and use it for various recipes.You can double the quantity and store it in the jar for future use. Use the Konkani Style Koli Masala Recipe in Kala Chana Cooked In Koli Masala Recipe (Maharashtrian Koli Style Kala Chana Recipe).
Maharashtrian Goda Masala Powder Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Goda_Masala.jpg,"Goda Masala is a quintessential Maharashtrian spice powder mix of aromatic spices blended together to give it a subtle sweet flavour, which is why it gets its name. “Goad” meaning sweet in Marathi, this masala is used in many classic Maharashtrian recipes such as Bharleli Vangi, Amti and several other curries that have an authentic Maharashtrian flavour. This masala gets its distinctive flavour from Dagad Phool/Pathar Phool or Black Stone Flower.",Maharashtrian Recipes,,,Total in 300 M,"
To be roasted in a little oil

							 		500 grams Coriander (Dhania) Seeds 

							 		100 grams Cumin seeds (Jeera) 

							 		10 grams Cinnamon Stick (Dalchini) 

							 		10 grams Whole Black Peppercorns 

							 		10 grams Cloves (Laung) 

							 		10 grams Bay leaves (tej patta) 

							 		10 grams Dagad phool (/pathar phool/black stone flower) 

							 		10 grams Nagkesar/cassia buds 

							 		10 grams Ajwain (Carom seeds) 

							 		10 grams Asafoetida (hing) 

							 		20 grams Dried turmeric 

							 		10 grams Methi Leaves (Fenugreek Leaves) 
To be roasted dry

							 		100 grams Sesame seeds (Til seeds) 

							 		125 grams Dessicated Coconut 

							 		10 grams Poppy seeds 
Other ingredients

							 		125 grams Red Chilli powder 

							 		3-4 tablespoons Salt 

							 		5-6 tablespoons Oil 
","To begin making the Goda Masala Recipe, first place a large pan/wok/kadai on a medium heat to roast all the ingredients. When the kadai is moderately hot, with the heat on medium, gently and separately roast the ingredients listed under ‘To be roasted dry’ until they are fragrant and lightly browned. Take care to keep the heat consistent and moderate so as not to burn any of the ingredients.When each of the ingredients is roasted till aromatic, remove it in a separate container/wide plate and place it aside to cool.Once that is done, proceed to roast the ingredients under “To be roasted in a little oil”. Drizzle very little oil into the warm kadai and once again gently and separately roast the ingredients listed one by one. You can club a few spices together such as the cloves, peppercorn, nagkesar etc.Take them out in containers/wide plates and set them aside to cool.Next, in a mixer-grinder, grind all the the dry roasted spices together in a batch. Then grind all the ingredients roasted in oil together in another batch.Ina large wide pan, mix the two batches of ground spices together. Using a large spoon fold the mixture repeatedly so that the spices are uniformly blended.Next, add in the chilli powder and salt. If using turmeric powder add that too at this stage. Mix well once again.If you wish, you can once again place the mixed spices in the grinder and pulse once more to ensure perfect blend.Empty the mixture into an airtight container and use it when making Maharashtrian Masale Baath, Dal Vangi and Moong Sprouts Usal."
Panch Phoran Masala Recipe- Indian Five Spice Powder,https://www.archanaskitchen.com/images/archanaskitchen/BasicRecipes_Spice_Powders/Panch_Phoran_Masala_Recipe_Bengali_Five_Spice_Mix-1.jpg,"The Panch Phoran Masala, is a very traditional spice mix used in the Bengali cuisine that is mostly a blend of 5 important spices. I have known a few bengalis who debate over which spice rules over the other. Which is when I realised, that every home has their small and subtle variations to this Panch Phoron spice mix.",Bengali Recipes,,,Total in 25 M,"

							 		50 grams Cumin seeds (Jeera) 

							 		50 grams Mustard seeds (Rai/ Kadugu) 

							 		50 grams Fennel seeds (Saunf) 

							 		50 grams Kalonji (Onion Nigella Seeds) 

							 		25 grams Methi Seeds (Fenugreek Seeds) 
","To begin making the Panch Phoran Masala Recipe, preheat a small pan on medium heat.Dry roast all the Panch Phoran ingredients until well roasted and you start smelling the aromas of the roasted ingredients.Once roasted, turn off the heat and allow the seeds to cool. Once cooled, powder the Panch Phoran Masala in a grinder. Store the Panch Phoran Masala in airtight bottled in the freezer for its freshness to last for a long time."
Malvani Masala Powder Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Malvani_Masala_Recipe_.jpg,Malvani Masala Recipe is a most popular spice powder used mainly from the Malvan region of Maharashtra which falls on the west coast. Being situated on the coastal borders the malvani cuisine is influenced by two more other cuisine such as the Konkan and Goan. This spice mix is used just like the Garam masala spice powder mix used by the North Indians. The best part of the spice mix is the aroma that comes out when once ground.,Maharashtrian Recipes,,,Total in 15 M,"

							 		6 Dry Red Chillies 

							 		2 tablespoon Coriander (Dhania) Seeds 

							 		1 tablespoon Whole Black Peppercorns 

							 		1 tablespoon Fennel seeds (Saunf) 

							 		1 tablespoon Cumin seeds (Jeera) 

							 		2 tablespoon Poppy seeds 

							 		5 Mace (Javitri) 

							 		5 Cloves (Laung) 

							 		3 inch Cinnamon Stick (Dalchini) 

							 		2 Star anise 

							 		3 Stone flower							 		, (Optional)							 	

							 		1 tablespoon Nutmeg powder 

							 		2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Asafoetida (hing) 
","To begin preparing the Malvani Masala Recipe, heat a sauce pan, roast the coriander seeds, cumin seeds, fennel seeds, peppercorns, poppy seeds first for about 2 minutes.Add the dry red chillies, star anise, mace, cloves, stone flower, nutmeg powder, turmeric, and hing and roast them for about 3 more minutes.Cool them down and grind it into a coarse powder and store it in a mason jar for later use.Serve the Malvani Masala Recipe in a Maharashtrian Style Kelfulachi Bhaji Recipe (Banana Floweret Stir Fry Recipe) and Malvani Kurkuri Bhindi Recipe - Moongphali Bhindi Sabzi."
Baingan Tamatar Sabzi - Brinjal/ Eggplant Masala Recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Gravy/Baingan_Tamatar_Ki_Sabzi_No_Onion_No_Garlic_Recipe-1.jpg,"The Baingan Masala Recipe is a dish that is packed with flavors from rich vibrant tomatoes, a hint of garlic, garam masala and not to miss the coriander powder and leaves that give it that rich gravy consistency and taste.",Indian,Side Dish,Vegetarian,Total in 50 M,"

							 		1 Brinjal (Baingan / Eggplant)							 		, cut into 1 inch thick wedges							 	

							 		5 Tomato							 		, finely chopped							 	

							 		1 Onion							 		, finely chopped							 	

							 		4 cloves Garlic							 		, finely chopped							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		1/2 teaspoon Red Chilli powder							 		, to taste							 	

Salt							 		, to taste							 	

							 		1 tablespoon Ghee							 		, for cooking							 	

							 		1 teaspoon Oil 

Coriander (Dhania) Leaves							 		, small bunch, chopped							 	
","To begin making the Baingan Tamatar Sabzi/ Baingan Masala Recipe, we will first cook the baingan (eggplant) separately. Add in the cut baingan wedges into the oil, sprinkle some salt and stir to combine the salt in.Cover the pan and cook the baingan on low to medium heat until it is partially cooked. When the pan is covered, it develops steam that will help the baingan to cook without any water. Once the baingan is partially cooked, uncover the pan and roast the baingan until it is fully cooked.We open it at a stage when it is partially cooked, as we dont want the baingan to get mushy, you want it to remain firm, yet cooked. So it is important to cook it without the lid in the second half. Once you feel the baingan is cooked well, turn off the heat.Transfer the baingan to a bowl and keep aside and we will make the masala for the baingan tamatar sabzi.Into the same pan we cooked the baingan, heat a teaspoon of ghee or oil; add in the onion and garlic and saute until the onions soften.Add in the chopped tomatoes and saute until the tomatoes become mushy and soft.Once the tomatoes soften, add the remaining masala ingredients like turmeric powder, coriander powder, garam masala powder, salt and red chilli powder to taste. Stir all the baingan masala ingredients with the tomato and give it a brisk stir on high heat.Add in the roasted eggplants and cover the pan, turn the heat to low and allow the baingan to simmer in the tomato masala for about 5 minutes. Check the salt and adjust to suit your taste.After 5 minutes, turn off the heat and stir in the freshly chopped coriander leaves and transfer the Baingan Tamatar Sabzi/ Baingan Masala Recipe to a serving bowl. Serve the Baingan Tamatar Sabzi/ Baingan Masala along with Phulka's and Carrot Salad for a quick weeknight dinner."
Traditional Gujarati Mohanthal Recipe - Gram Flour Fudge with Nuts and Saffron,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Gujarati_Mohanthal_Recipe-1-3.jpg,Gujarati Mohanthal Recipe is a very traditional festive sweet made from sweetened gram flour and cooked slowly into a dense fudge flavored with saffron and nuts. Mohanthal is one of the signature desserts prepared by my mother in law and the entire family swoons over the perfect texture and taste that only she can achieve. Friends and family would tell her “We follow your recipe to the T and can’t get it to make like you do”. Some say it’s the hand and I say it’s the love with which she makes it.,Gujarati Recipes﻿,Dessert,Vegetarian,Total in 50 M,"

							 		4 cups Gram flour (besan) 

							 		2-1/4 cups Ghee 

							 		1/4 cup Milk 

							 		1 tablespoon Cardamom Powder (Elaichi) 

							 		10 Whole Almonds (Badam)							 		, finely chopped							 	

							 		10 Pistachios							 		, finely chopped							 	
Ingredients for the Sugar Syrup

							 		2 cups Sugar 
","To begin making the Mohanthal Recipe, we will first prepare our dish for setting the Gujarati Mithai. Grease an 8 x 8 inch square pan with a minimum of 2 inch rim with ghee and set aside.Add 1-1/2 cups of ghee to the gram flour in a large bowl and combine well with fingers to make a mixture that feels like coarse crumbs. Stir in the milk to the above coarse crumbs mixture and rub between the palms to combine well.In another sauce pan; heat the 2 cups of sugar and 1-1/2 cups of water simmering it until it reaches a two thread consistency, about 10 minutes. Remove from heat and keep it warm.Heat the remaining ghee in a large sauce pan and add the above flour mixture, stirring continuously until golden brown and releases a roasted aroma about 7 to 10 minutes. Stir in the nuts and cardamom until combined.Gradually add the sugar syrup and keep stirring till the mixture thickens and leaves the sides of the pan. Take care not to stir to for too long; if you do the mixture will become too rubbery when set.Turn off heat and transfer the Mohanthal mixture into the greased rectangular pan, leveling such that the Mohanthal is about two inches in height.Run a knife to cut the Mohanthal into squares and allow it to cool on the tray for more than a couple of hours to set. Once cooled completely, separate the precut squares and serve.Store the Gujarati Mohanthal Mithai in airtight containers in the refrigerator for about 2 weeks.Serve the Gujarati Mohanthal for the festivals like Diwali or even make it as a sweet for friends and family. You can serve it as it is or it warm by heating in the microwave for a few seconds."
Milagu Jeera Curry Leaf Sadam Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Milagu_Jeera_Sadam_Recipe-3.jpg,"Milagu Jeera Sadam Recipe is an spicy south indian rice made with black pepper, cumin and curry leaves that are ground together and then combined along with cooked rice.",South Indian Recipes,Lunch,Vegetarian,Total in 25 M,"

							 		2 cups Cooked rice 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1/4 cup Raw Peanuts (Moongphali) 

Salt							 		, to taste							 	
For The Milagu Jeera

							 		2 tablespoons Whole Black Peppercorns 

							 		2 teaspoons Cumin seeds (Jeera) 

							 		1/4 cup Curry leaves 

							 		2 tablespoons Sesame (Gingelly) Oil 
","To begin making the Milagu Jeera Sadam Recipe With Curry Leaves, we will first make the masala of the black pepper, cumin and curry leavesIn a preheated pan, roast the whole black peppercorns (milagu) and cumin seeds (jeera) on medium heat. Roast until you notice the cumin crackling and the color or black pepper changes slightly.Add the roasted milagu (black pepper) and jeera (cumin seeds), along with the curry leaves into a mixer grinder. Blend to make a coarse powder.Heat 1 tablespoon sesame oil on medium heat;  add the mustard seeds, split urad dal and raw peanuts. Allow the mustard seeds to crackle and the dal and peanuts to get well roasted.Roast until the peanuts turn crisp.Once the peanuts are crisp add the milagu and jeera ground mixture. Stir for a few seconds.Add the cooked rice/ sadam and salt to taste. Add an additional tablespoon sesame oil and stir well to combine the Milagu Jeera Sadam with Curry leaves. Turn heat to low cover and simmer the Milagu Jeera Sadam for 2 to 3 minutes and turn off the heat. Check the salt to taste and adjust accordingly.Serve the Spicy Milagu Jeera Curry Leaf Sadam Recipe along with Mixed Vegetable Kurma or Potato & Peas Curry in Coconut Milk and a Tomato Onion Raita for a weeknight dinner, lunch or even pack into a lunch box."
Oil Free Gujarati Undhiyu Recipe - No Onion No Garlic,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Dhara/oil-free-gujarati-undhiyu-recipe-no-onion-no-garlic.jpg,"Undhiyu is a Gujarati mixed vegetable dish that is a regional specialty of Surat, India. The name of this dish comes from the Gujarati words ""matlu"" meaning earthen pot and ""undhu"" meaning upside down since they have been traditionally cooked upside down underground in earthen pots fired from above. The dish is made with seasonal vegetables during the winter season.",Gujarati Recipes﻿,Side Dish,No Onion No Garlic (Sattvic),Total in 60 M,"
For Muthiya balls:

							 		1 cup Gram flour (besan)							 		, or handwa flour mix							 	

							 		1/2 cup Methi Leaves (Fenugreek Leaves)							 		, chopped							 	

							 		1 tablespoon Red Chilli powder 

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Asafoetida (hing) 

							 		1 teaspoon Sugar 

							 		1 pinch Cooking soda 
For Dry Masala:

							 		1-1/2 cups Coriander (Dhania) Leaves							 		, chopped							 	

							 		2 teaspoons Green Chillies							 		, finely chopped							 	

							 		2 tablespoons Dessicated Coconut 

							 		3 teaspoons Red Chilli powder 

							 		1-1/2 teaspoons Turmeric powder (Haldi) 

							 		4 teaspoons Coriander Powder (Dhania) 

							 		2 teaspoons Garam masala powder 

Salt							 		, to taste							 	

							 		2 teaspoons Sugar							 		, (optional)							 	
Vegetables required

							 		1 cup Avarekalu / Lilva Beans							 		, stringed, whole pod							 	

							 		1 cup Tindora (Dondakaya/ Kovakkai)							 		, sliced							 	

							 		1 cup Raw Banana							 		, chopped							 	

							 		1/2 cup Green peas (Matar) 

							 		1/2 cup Cabbage (Patta Gobi/ Muttaikose)							 		, shredded							 	

							 		1/2 cup Purple cabbage							 		, shredded							 	

							 		3 Brinjal (Baingan / Eggplant)							 		, make 4 slits, stem intact							 	

Coriander (Dhania) Leaves							 		, few, chopped							 	
","To prepare Oil Free Gujarati Undhiyu Recipe (No Onion No Garlic), prep up with all the ingredients required and proceed with making muthiya.To make muthiya, mix all the ingredients - besan, fenugreek leaves, red chilli powder, turmeric powder, hing,  sugar, salt, soda along with some water required to make a stiff dough.Once the dough ahs come together, form small round dumpling of the size of muthiyas.Steam them in a preheated steamer for 10-15 minutes on medium-low heat, or until the dumplings are steamed. Keep aside.In a large bowl, mix all the ingredients of dry masala which include - coriander leaves, green chillies, coconut powder, red chilli powder, turmeric powder, coriander powder, garam masala, salt to taste, sugar and mix them well with a little water just enough to bind it. Fill this dry masala into the eggplants. Similarly, rub the same masala on to other vegetables except cabbage. Keep the veggies to marinate in the masala for 30 minutes.In a pressure cooker, add all the veggies - lilva, tindora, raw banana, and the green peas with a glass (240ml) of water and salt to taste. Pressure cook for 2 whistles and turn off the flame. Allow the pressure to release naturally. Bake cabbage in a preheated oven, at 375 degrees fahrenheit for 10 minutes or till done. You can steam it as well.Bake filled eggplants for about 10-15 minutes in oven at 375 degrees fahrenheit. Now take a large kadai or saucepan and add all the vegetables, except the eggplants  and mix well. Adjust water only if required.Add in the steamed muthia and eggplants and give a quick and careful mix. Garnish it with coriander leaves.Serve Gujarati Undhiyu along with Gujarati Puran Poli Recipe, Gujarati Kadhi Recipe - Sweet And Spicy Gujarati Kadhi and some steamed rice  and finish the meal with a dessert of Golpapdi Recipe."
Mor Milagai Recipe - South Indian Sun Dried Chillies,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Mor_Milagai_Recipe_-_South_Indian_Sun_Dried_Chillies-1_1600.jpg,Mor Milagai Recipe is a delicious crisp chilli which is marinated in yogurt and sun-dried. Later these sun dried chillies are fried in oil and then served along with a bowl of curd rice. It is one of the most popular condiments of the South Indian Cuisine.,South Indian Recipes,Side Dish,Vegetarian,Total in 10 M,"

							 		100 grams Green Chillies 

							 		1 cup Curd (Dahi / Yogurt)							 		, thick							 	

							 		1/4 cup Water 

							 		2 tablespoons Salt 
","To begin making the Mor Milagai, first wash the green chillies well and allow it to dry completely by wiping it in a cloth.Slit the chillies in the middle slightly till half way along the end. Also, keep the stems, and don't remove them. Slitting of the chillies helps the chillies to absorb curd/ yogurt easily. In a large mixing bowl, add the curd, water and salt. Whisk well and add the chillies. Stir well with a clean ladle and avoid using your hands. We need to now marinate the chillies in a bottle.Place the Mor Milagai, along with the curd mixture into a clean bottle. Cover the bottle and keep aside in the kitchen counter. The next morning shake the bottle well, to allow the marination to blend well into the chillies.  Ensure there is no fungus around the chilles.Remove the chillies from the yogurt mixture and place it on a clean tray and place it under the sun for the entire day. Keep the buttermilk in the bottle, as we be adding the chillies back into the same buttermilk at the end of the day. Do not refrigerate this mixture.Loosely cover the Mor Milagai with a loose kitchen towel. This is simply to preven the dust from sticking to the Mor Milagai.At the end of the day, place the chillies back into the bottle which had the buttermilk. Shake well, so the chillies get well coated with the buttermilk mixture. Allow it to marinate it the entire night.The next morning, shake the bottle and remove the chillies from the buttermilk mixture and dry it again under the sun for the entire day.Continue this process of drying and marination in the buttermilk for 4 days. The buttermilk, will be mostly absorbed by the chillies. The drying of the chillies, helps the chillies to absorb more buttermilk every day.At the end of 4 days you will have very little yogurt mixture and will be a thick paste.Mix the mor milagai chillies into the paste and ensure the chillies are well coated with the remaining yogurt paste.Spread this Mor Milagai in a tray and keep it under the sun to dry.  Repeat the same process the next day, by tossing any remaining buttermilk/ yogurt paste and smearing it over the chillies.Dry it under the sun until  the chillies are completely dry and dehydrated. Once the Mor Milagai is dry and feels de-hydrated and there is no moisture left, you can store it in a ziplock and freeze it and use it as and when required."
