name_of_Dish,Diet_Type,Course_name,Discrption_of_Dish,Cuisine_name,Ratings_of_Dish,Similar_Dishes,Ingredients_of_Dish,Prepration_time,Cooking_time,Total_time,Makes,Recipe_Instructions
मूंगफली का रायता रेसिपी - Boiled Peanut Raita Recipe,Diet: Vegetarian,Course: Side Dish,मूंगफली का रायता रेसिपी एक ताज़्ज़ा रायता है जिसमे उबली हुई मूंगफली का प्रयोग किया जाता है. इसमें जीरा पाउडर और काली मिर्च पाउडर का इस्तेमाल किया जाता है जो इस रायते को अच्छा स्वाद देता है. अंत में इसमें आप हरा धनिया और पुदीने के पत्तो का भी इस्तेमाल भी कर सकते है. ,['Cuisine: Indian'],4.9,"['बूंदी रायता रेसिपी\xa0', 'तड़का रायता रेसिपी\xa0', 'टमाटर ककड़ी प्याज रायता रेसिपी\xa0']","['दही', 'पानी', 'नमक', 'काली मिर्च पाउडर', 'जीरा पाउडर', 'मूंगफली', 'पुदीना', 'हरा धनिया']",10 M," 0 M
", 10 M, 4 Servings,"['मूंगफली का रायता रेसिपी को बनाने के लिए सबसे पहले मूंगफली को 2 कप पानी और नमक के साथ प्रेशर कुकर में डाले और 3 से सिटी आने तक पका ले. प्रेशर अपने आप निकलने दे.', 'प्रेशर निकलने के बाद, पानी निकाल ले और मूंगफली को अलग से ठंडा होने के लिए रख ले.', 'एक बाउल में दही निकाले और फेट ले. इसमें प्रयोग अनुसार पानी, नमक, काली मिर्च पाउडर, जीरा पाउडर डाले और अच्छी तरह से मिला ले.', 'अब इसमें उबली हुई मूंगफली, पुदीना, हरा धनिए डाले और अच्छी तरह से मिला ले। परोसे।', 'मूंगफली का रायता रेसिपी\xa0को चेट्टिनाड मिंट पोटैटो बिरयानी और पालक पकोड़े के साथ दिन के खान के लिए परोसे।']"
Instant Oats Rava Idli Recipe,Diet: Diabetic Friendly,Course: South Indian Breakfast,The Instant Oats Rava Idli Recipe is a perfect blend of oats and grains that you can make for a weekday breakfast.,['Cuisine: South Indian Recipes'],4.9,"['Vegetable Oats Upma Recipe', 'Strawberry & Oats Breakfast Smoothie', 'Irish Soda Bread with Orange Rind and Oats', 'The Palak Ragi Oats Wheat Thepla']","['Instant Oats (Oatmeal)', 'Sooji (Semolina/ Rava)', 'Curd (Dahi / Yogurt)', 'Carrot (Gajjar)', 'Coriander (Dhania) Leaves', 'Enos Fruit Salt', 'Salt', 'Oil', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Asafoetida (hing)', 'Green Chillies', 'Chana dal (Bengal Gram Dal)', 'Cashew nuts']","0 M
", 30 M, 30 M, 4 Servings,"['To begin making the\xa0Instant Oats Rava Idli Recipe, we will first prepare the tempering/tadka that will be added to the Oats Rava Idli.', 'Heat oil in a skillet on medium heat. Add mustard seeds and as they begin to splutter, add chana dal and roast the dal until it turns golden brown. Once the dal has turned golden brown, add chopped green chilies, curry leaves and asafoetida and saute for a few seconds.Turn off the flame and set aside to cool.', 'In another pan, on medium flame dry roast the oats until you get the roasted aroma and it slightly changes in color. Once roasted, allow it to cool and blend to a make a powder and keep it aside.', 'In a large mixing bowl,\xa0add the oats powder and roasted rava, roasted seasoning ingredients, grated carrots and chopped coriander leaves. Mix well.', 'Add yogurt, salt and little water at a time to make it to a thick batter. The consistency of the oats idli batter should be slightly loose than a idli batter. Set it aside for 10-15 mins. The batter will thicken while it rests. After the resting period, add the enos fruit salt and mix again.', 'Preheat an idli steamer with water.\xa0Grease idli plates with oil and pour the batter into each cavity of the idli plate.', 'Place the Oats Rava Idli into the steamer and steam for 10-15 minutes until cooked through.', 'Serve the Instant Oats Rava Idli Recipe along with some\xa0Tomato Onion Chutney\xa0or\xa0Vengayam Sambar\xa0for a weeknight dinner.']"
Amritsari Ajwaini Paneer Recipe,Diet: Vegetarian,Course: Side Dish,"Amritsari Ajwaini Paneer recipe is a delicious recipe from North India that has a rich gravy flavoured with delicate spices and ajwain. Food around Northern India, especially areas around Uttar Pradesh, Punjab and Haryana is rich and heavy. They also have a lavish use of Ajowan or Ajwain in their dishes like kebabs, tikkas, including many of their gravies that add a special flavor to their cuisine.Inspired by their cuisine, I combined ajwain along with cashewnuts, and a few spices to create a delectable gravy for this Amritsari inspired dish with",['Cuisine: North Indian Recipes'],4.8,"['Mutter\xa0Paneer\xa0Recipe (Paneer\xa0in Peas Gravy)', 'Paneer\xa0Pasanda Recipe (Cottage Cheese in Spicy Yogurt Curry)', 'Kadai\xa0Paneer\xa0Recipe (Spiced Cottage Cheese with Green Bell Peppers)']","['Paneer (Homemade Cottage Cheese)', 'Homemade tomato puree', 'Onion', 'Garlic', 'Green Chilli', 'Ginger', 'Cashew nuts', 'Cloves (Laung)', 'Ajwain (Carom seeds)', 'Garam masala powder', 'Turmeric powder (Haldi)', 'Coriander Powder (Dhania)', 'Red Chilli powder', 'Sugar', 'Salt', 'Oil', 'Coriander (Dhania) Leaves']",20 M, 40 M, 60 M, 4 Servings,"['To begin making the Amritsari Ajwaini Paneer recipe, we will first make a paste of onion, garlic, ginger and green chillies to a fine paste. Keep this mixture aside.', 'Next make a fine paste of the cashew nuts, adding very little water. Keep aside.', 'Using a pestle and motor pound ajwain and cloves to a fine powder. Keep aside.', 'Heat oil in a heavy bottomed pan\xa0on medium heat; add the onion paste and saute for a few minutes; you will notice that the onion mixture begins to absorb all the oil and will look dry. Resist the temptation to add more oil at this point. Continue to saute the onions on medium heat until the raw smell goes away.', 'Stir in the turmeric powder, pounded spices and garam masala stir well for a couple of more minutes.', 'Add in the pureed tomatoes, coriander powder, red chilli powder, salt. Cover the pan and simmer the ajwaini paneer for 4-5 minutes.', 'Stir in the cashewnut paste, sugar and simmer for about a minute. Finally stir in the paneer cubes, garnish with coriander leaves and serve hot with Naans or Tawa Parathas.', 'You can also\xa0pair Amritsari Ajwaini Paneer with\xa0Whole wheat spinach paratha\xa0or\xa0Mooli Paratha (Thepla).']"
Corn Pineapple Salsa Salad Recipe,Diet: Vegetarian,Course: Appetizer,Corn Pineapple Salsa Salad is a beautiful light dish that can be put together in minutes and can be a wonderful pre-dinner option. It can be prepared using various fresh vegetables and is a wonderful way to sneak in important and nutritious vegetables into your kids lunch box.,['Cuisine: Mexican'],4.9,"['Spicy Mexican Salsa Recipe', 'Spicy Grilled Pineapple Salsa Recipe', 'Homemade Guacamole Recipe']","['Sweet corn', 'Pineapple', 'Tomatoes', 'Green Bell Pepper (Capsicum)', 'Onion', 'Garlic', 'Pickled Jalapenos', 'Coriander (Dhania) Leaves', 'Lemon', 'Tabasco Original - Hot Sauce', 'Sugar', 'Salt']",20 M," 0 M
", 20 M, 2-3 Servin,"['To begin making Corn Pineapple Salsa Salad Recipe, place the corn, tomatoes, pineapple, bell peppers, onion, garlic, jalapeno, along with the coriander leaves, lemon juice, salt to taste, sugar and tabasco sauce\xa0 in a large bowl and stir to combine well.', 'Refrigerate the\xa0Pineapple Salsa\xa0for at least an hour before serving.', 'Serve\xa0Corn Pineapple Salsa Salad Recipe with a hearty soup like\xa0Mexican Vegetarian Bean & Cheese Enchiladas Recipe\xa0and\xa0Homemade Nachos Recipe\xa0for a weekend dinner with family.']"
Tawa Crispy Pomfret Fry Recipe,Diet: High Protein Non Vegetarian,Course: Side Dish,Tawa Fry Crispy Pomfret Recipe is tender inside & crispy outside served with a spicy chutney. It is a perfect starter or a side dish for your main course. It is easy to make and is healthy too. Just marinate it with the masala and fry it on the taw and you have your delicious fish ready.,['Cuisine: Indian'],4.9,"['Fish Sukka Recipe', 'Goan Lady Fish Curry Recipe', 'Ayala Fish Fry Recipe']","['Pomfret fish', 'Turmeric powder (Haldi)', 'Black pepper powder', 'Lemon juice', 'Hung Curd (Greek Yogurt)', 'Curry leaves', 'Coriander (Dhania) Leaves', 'Red Chilli powder', 'Fennel Powder', 'Butter (Salted)', 'Salt']",100 , 20 M, 120 , 2 Servings,"['To begin making the Tawa Fry Crispy Pomfret Recipe, wash and clean the pomfret fish properly and make gashes on both sides using a knife.', 'Now, we need to marinate fish so add turmeric powder, salt, lemon juice and crushed peppers and rub it properly on the fish. Let it sit for 15 minutes.', 'Next step includes making a smooth paste by mixing curd, red chilli powder, fennel powder, finely chopped coriander leaves and curry leaves. Now rub this masala paste on the fish making sure to push the masala inside the gashes.', 'Marinate the fish for 1 hour in refrigerator. Heat a non stick pan and add melted butter into it.', 'Put the pomfret on the pan and fry for 8 to 10 minutes on one side in medium flame. Carefully flip the fish and cook on the other side too for 8 to 10 minutes. Make sure to not overcook the fish otherwise it may become dry.', 'Drain the excess butter using a paper towel. Serve it hot.', 'Serve\xa0Tawa Fry Crispy Pomfret\xa0along with\xa0Dhaniya Pudina Chutney\xa0or any other chutney of your choice for your house parties or a weekend dinner. You can also serve it as a side dish with your meal.']"
Creamy Indian Butter Fish Recipe - Creamy Pabda Fish,Diet: High Protein Non Vegetarian,Course: Side Dish,Creamy Indian Butter Fish is a popular choice in West Bengal and must be one of the best known of Bengali Cuisine. The english name for the Pabda fish is Indian Butter Fish. A delicious and spicy recipe ideal for mid week family meals or weekend lunches.,['Cuisine: Bengali Recipes'],4.9,"['Shorshe Maach Recipe', 'Ayala Fish Fry Recipe', 'Hariyali Tawa Fish Fry Recipe']","['Indian butter fish', 'Mustard oil', 'Turmeric powder (Haldi)', 'Kashmiri Red Chilli Powder', 'Dry Red Chillies', 'Green Chillies', 'Water', 'Coriander (Dhania) Leaves', 'Fresh cream', 'Panch Phoran Masala', 'Salt']",10 M, 10 M, 20 M, 4 Servings,"['To begin making the Creamy Indian Butter Fish Recipe, first clean the fish and dry it. Marinate with little salt and keep aside for 2 minutes.', 'Take a medium bowl and whisk together cream, turmeric powder, punch phoren masala, kashmiri red chilli powder, water and salt. Keep it aside.', 'Place the fish in frying pan and fry lightly both sides for two minutes.', 'Pour the whisked creamy sauce on top of the fishes so to coat them entirely. Keep the green chillies on fishes. Take extra care not to break the fish while flipping as it is extremely delicate to work with.', 'Cover and cook on low flame for 5 minutes. Check the salt and adjust the taste. Sprinkle few coriander leaves and it is ready to be served.', 'Serve Creamy Indian Butter Fish with\xa0Bengali Style Tetor Dal\xa0and\xa0Steamed Rice\xa0for a weekday meal.']"
Baked Eggs In Mexican Corn Cup Recipe,Diet: Eggetarian,Course: World Breakfast,Baked Eggs In Mexican Corn Cup is a delicious recipe idea of serving baked eggs in a freshly made corn shell.,['Cuisine: Mexican'],4.9,"['Egg Bhurji Stuffed Pita Pockets Recipe', 'Stuffed Deviled Eggs with Parsley and Mayonnaise', 'Scrambled Egg Sandwich Recipe With Cucumber']","['Whole Wheat Flour', 'Sooji (Semolina/ Rava)', 'Del Monte Whole Corn Kernels', 'Garlic', 'Extra Virgin Olive Oil', 'Pickled Jalapenos', 'Parsley leaves', 'Salt and Pepper', 'Tomato Salsa', 'Chilled water', 'Whole Eggs']",15 M, 30 M, 45 M, 6 Servings,"['To begin making the Baked Eggs in Mexican Corn Cup Recipe, we will first roast the corns in a skillet.', 'Heat a teaspoon of oil in a cast iron skillet over medium heat. Roast the corn kernels till soft and brown marks start appearing on the corn kernels. Turn off the heat. Set aside in a bowl till required.', 'Next sift the flour and semolina together in a large mixing bowl. Add salt, pepper, parsley and jalapeno along with roasted corn and chopped garlic.', 'Add the tomato salsa to bind the mixture. If you think its not coming together use a tablespoon or so of cold water. No need to knead the dough. It should just come together.', 'Preheat you oven at 180 C. Grease a muffin pan with little oil or butter.', 'In a greased muffin pan now line this mixture in a 1/4 inch thick layer.', 'Gently press the mixture towards the base of the muffin mould to form a crust like shape.\xa0Bake the corn shells at 180 C for about 15 mins, till it feels set.', 'Once baked bring the muffin tray out of the oven. Break one egg in each corn cup. Sprinkle salt and pepper on each egg as per taste. Bake once again for 10 minutes or till the egg is baked as per your preference.', 'Let the\xa0Baked Eggs in Mexican Corn Cup cool in the wire rack for few minutes before removing from the muffin tray.', 'Serve\xa0Baked Eggs In Mexican Corn Cup along with\xa0Quick Strawberry Yogurt Smoothie\xa0for a healthy breakfast.']"
Fenugreek Spiced Sardine Fish Curry Recipe,Diet: High Protein Non Vegetarian,Course: Side Dish,"Fenugreek Spiced Sardine Fish Curry Recipe is an age old recipe that has been passed on to people from generations. In earlier times, this curry was cooked in an earthen pot and that tradition is still going on. ",['Cuisine: Indian'],4.9,"['Kerala Style Fish Curry Recipe', 'Goan Lady Fish Curry Recipe (Muddoshi Hooman)', 'Doi Bhetki Recipe (Yogurt Fish Curry)', 'Mangalore Fish Curry Recipe']","['Sardine fish', 'Gingelly oil', 'Methi Seeds (Fenugreek Seeds)', 'Onion', 'Onion', 'Tomatoes', 'Garlic', 'Curry leaves', 'Whole Black Peppercorns', 'Dry Red Chillies', 'Red Chilli powder', 'Coriander (Dhania) Seeds', 'Turmeric powder (Haldi)', 'Tamarind Paste', 'Cumin seeds (Jeera)', 'Fresh coconut', 'Salt']",10 M, 25 M, 35 M, 3 Servings,"['To begin making Fenugreek Spiced Sardine Fish Curry Recipe, prepare all the ingredients first, clean the fish and chop it to desired size.', 'Now heat a tawa with some gingelly oil. Once it is heated, add the jeera, whole black peppercorns, dry red chillies, coriander seeds on medium heat and roast them till a nice aroma emerges.', 'Add the coarsely chopped onions, and garlic and saute a bit till the onions are translucent.', 'Once done, add the fresh grated coconut and stir for a minute or so, till toasted. Switch off heat once done, and allow to cool on a plate, pot which we will need this to grind.', 'Meanwhile in the same kadai/pot, heat a bit of gingelly oil, add cumin seeds and allow to sizzle. After a few seconds of adding cumin seeds, add the curry leaves, stir a bit so that the curry leaves splutter.', 'Immediately add the finely chopped onions and fenugreek seeds, saute and cook till the onions are translucent.', 'To the kadai, add chopped tomatoes, and continue cooking on medium heat till the tomatoes turn mushy. Turn off till the ground paste is ready.', 'By this time, the oil roasted ingredients would be cooled. Take those in a mixer grinder and grind them into a smooth paste by adding enough water.', 'Add this paste to the mushy tomatoes in the kadai on medium heat and cook further for about 5 minutes or the gravy kind of comes together from sides.', 'Add the tamarind paste and required water for the gravy.', 'After a minutes, add in the sardine fish pieces, required salt and cook covered for about 8-10 minutes on medium heat or till the fish is cooked well.', 'Serve Fenugreek Spiced Sardine Fish Curry Recipe with\xa0Chicken Cutlet Recipe\xa0and\xa0Steamed Rice Recipe\xa0 or\xa0Ghee Rice Recipe | Neychoru\xa0for a complete meal.']"
थाई कोकोनट गार्लिक राइस रेसिपी - Thai Coconut Garlic Rice Recipe,Diet: Vegetarian,Course: Main Course,थाई कोकोनट गार्लिक राइस रेसिपी एक सरल चावल रेसिपी है जो फ्लेवर से भरपूर है. इसमें नारियल के दूध का इस्तेमाल किया जाता है जो इसे नरम और लाइट बनाता है. इसमें सके हुए नारियल का भी प्रयोग होता है जो इसे और भी अच्छा क्रंच देता है.  ,['Cuisine: Thai'],4.9,"['टोफू फ्राइड राइस रेसिपी ', 'गोभी फ्राइड राइस रेसिपी\xa0', 'प्रॉन फ्राइड राइस रेसिपी\xa0']","['नारियल का तेल\xa0', 'लहसुन', 'चावल', 'पानी', 'नारियल का दूध', 'हरा धनिया', 'नमक', 'नारियल का तेल\xa0', 'लहसुन', 'सूखा नारियल']","5 M
", 20 M, 25 M, 3 Servings,"['थाई कोकोनट गार्लिक राइस रेसिपी बनाने के लिए सबसे पहले एक प्रेशर कुकर में नारियल का तेल गरम कर ले. इसमें लहसुन डाले और 40 सेकण्ड्स के लिए हल्का भूरा होने तक पका ले.', 'लहसुन के हल्का भूरा होने के बाद, इसमें चावल, 1 कप पानी, 1 कप नारियल दूध, नमक डाले, मिलाए और कुकर को बंद कर दे.', '2 सिटी आने तक पकाए और गैस बंद कर दे. प्रेशर अपने आप निकलने दे. कुकर खोले और एक सर्विंग प्लेट में चावल को निकाल ले.', 'गार्निश बनाने के लिए, एक तड़का पैन में नारियल का तेल गरम करें। इसमें लहसुन और नारियल डाले और उनके कुरकुरा और भूरा होने तक पका ले. गैस बंद कर दे.', 'इस मिश्रण को चावल पर हरे धनिये के साथ डाले और परोसे।\xa0थाई कोकोनट गार्लिक राइस रेसिपी\xa0को येलो थाई चिकन करी के साथ रात के खाने के लिए परोसे।']"
Cauliflower Tortilla Recipe,Diet: Diabetic Friendly,Course: Lunch,"The Cauliflower tortillas, are soft, grain free and delicious! You can use them as a wrap, taco shell, and burrito. These nifty tortillas made out of cauliflower are great if you eat gluten-free. I turned this incredible cauliflower into soft thin tortillas. And then I used them as soft tacos shells. Loaded it with soya granule bhurji, this definitely was a filling dish. Go ahead and wrap up anything you prefer, you’re getting a big dose of nutrition.",['Cuisine: Mexican'],4.9,"['Cauliflower And Broccoli Au Gratin', 'Pepper Cauliflower Recipe', 'Cauliflower Thoran Recipe', 'Roasted Cauliflower Recipe']","['Cauliflower (gobi)', 'Whole Egg', 'Salt', 'Black pepper powder']",20 M, 25 M, 45 M, 4 Servings,"['To begin making the Cauliflower Tortilla Recipe, wash the cauliflower head and cut them into large florets.', 'Grate the florets and place the grated cauliflower in perforated plate and steam in a steamer for about 15 minutes. Once the grated cauliflower florets are steamed, allow them to cool.', 'While it is cooking, preheat the oven to 180 degree centigrade.', 'Once cauliflower has cooled spoon the cooked cauliflower in center of a cloth and wring out the water. You need to remove as much moisture as possible from the cauliflower.', 'Transfer the dry cauliflower into a clean dry bowl. Add egg, salt and pepper powder, whisk well to combine.', 'Transfer one portion of the mixture, onto a baking sheet lined with parchment paper (a good quality one). Spread the mixture with your fingers into tortilla shape. You can make the cauliflower tortillas thick or thin as per your preference.', 'Bake the cauliflower tortillas in the preheated oven for about 10 minutes. Then flip the tortillas and continue to bake for another 7 to 8 minutes.', ""Once they're done place them on a wire rack to cool."", 'Serve the Cauliflower Tortillas topped with your favorite filling and serve immediately for a wholesome gluten free weeknight dinner.', 'Here is the recipe to make a Soy Bhurji Filling: To make soya bhurji filling, first heat oil in a pan, add onions and saute until they turn translucent. Next add ginger garlic paste and cook till the saw smell of the paste is gone.', 'Add green chilies and tomatoes and cook till tomatoes are soft.', 'Add red chili powder, coriander powder, turmeric powder, roasted cumin powder and salt mix well. Finally add soya granules (pre soaked in water). Cook for 5 minutes on low heat. That’s it, Soy Bhurji is ready!', 'These\xa0Cauliflower tortillas can be used to make\xa0Soft Taco With Mushroom and Roasted Bell pepper Sauce Recipe\xa0or\xa0Tacozza - Tacos with Refried Beans and Oregano']"
Healthy Black Bean Stuffed Burrito Recipe With Amaranth And Quinoa,Diet: Vegetarian,Course: World Breakfast,Healthy Black Bean Stuffed Burrito Recipe With Amaranth And Quinoa is a healthy Mexican meal. ,['Cuisine: Mexican'],4.9,"['Bean Spinach And Corn Quesadillas', 'Mexican Vegetarian Bean & Cheese Enchiladas', 'Vegetarian Mexican Tacos with Baked Beans']","['Mixed Grains', 'Water', 'Salt', 'Extra Virgin Olive Oil', 'Canned black beans', 'Salt', 'Garlic', 'Tortillas', 'Sour cream', 'Red Bell pepper (Capsicum)', 'Lemon', 'Extra Virgin Olive Oil', 'Coriander (Dhania) Leaves', 'Sweet corn', 'Mozzarella cheese', 'Mango pickle']",30 M, 20 M, 50 M, 4 Servings,"['To begin making the Healthy Black Bean Stuffed Burrito With Amaranth And Quinoa, first cook the grains.', 'To do that, place a sauce pan with 1-1/2 cups of water on the heat and bring it to a boil along with required salt. Once its at a rolling boil, stir in the mixed grains. Turn the heat down to low, cover the saucepan and allow it to cook/simmer for for about 15 minutes or until grains are cooked and the water is absorbed completely.', 'When the grains are cooked fully, turn off the heat, drain off any additional liquid if any, add one teaspoon of olive oil and fluff the grains up using a fork. Keep this aside for later use.', 'Meanwhile combine the drained beans with the garlic, add adequate water and salt and place it all in a pressure cooker. Put the pressure cooker on the heat and cook the beans until you hear 2-3 whistles. Turn the heat to low and allow it to cook for 3-4 minutes more and turns he cooker off. When the pressure releases naturally, take the lid off and ensure that the beans are tender, cooked but not mushy.', 'Drain the beans out of the water in which they were pressure cooked and run them under cold water. Keep aside for later use.', 'Next, warm up the tortillas and keep them wrapped in a cotton kitchen towel, until later use.', 'In a medium mixing bowl add the cooked grains, cooked beans, chopped coriander, chopped bell pepper, steamed corn, olive oil and lemon juice and stir to combine.', 'To assemble the burritos, place the tortillas on a work surface. Start with a big scoop of prepared beans + grain mixture and spread evenly across the tortillas.', 'Over it, scoop half a teaspoon each of sweet spicy mango pickle and a dollop of sour cream on the top.', 'Next, sprinkle some shredded cheese over each.', 'Fold the sides in to make a tight parcel, or roll it up into a cylindrical wrap so the filling stays intact.', 'Serve\xa0Healthy Black Bean Stuffed Burrito With Amaranth And Quinoa along with\xa0Kiwi Basil Lemonade Recipe\xa0and\xa0Baileys Irish Cream Trifle Pudding Recipe\xa0for dessert.']"
मोरिंगा मसूर दाल रेसिपी - Moringa Masoor Dal Recipe ,Diet: High Protein Vegetarian,Course: Lunch,मोरिंगा मसूर दाल रेसिपी एक स्वादिष्ट दाल रेसिपी है जिसमे दाल के साथ मोरिंगा की पत्तियों का इस्तेमाल किया जाता है. यह डायबिटिक फ्रेंडली दाल है और पोषण से भरपूर है. यह बनाने में आसान है इसलिए आप इसे अपने रोज के खाने के लिए भी बना सकते है. ,['Cuisine: North Indian Recipes'],4.9,"['पंचमेल दाल रेसिपी\xa0', 'खंदेशी दाल रेसिपी\xa0', 'माँ की दाल रेसिपी\xa0']","['मसूर दाल', 'ड्रमस्टिक के पत्ते', 'हींग', 'जीरा', 'अदरक', 'हरी मिर्च', 'टमाटर', 'सुखी लाल मिर्च', 'हल्दी पाउडर', 'लाल मिर्च पाउडर', 'धनिया पाउडर\xa0', 'नमक', 'घी', 'निम्बू का रस']",10 M, 30 M, 40 M, 4  Serving,"['मोरिंगा मसूर दाल रेसिपी बनाने के लिए सबसे पहले मसूर दाल को धो कर 3 कप पानी में 30 मिनट के लिए भिगो ले. अब ड्रमस्टिक के पत्तो को धो कर अच्छी तरह सूखा ले. बारीक काट ले और अलग से रख दे.', 'एक कढ़ाई में तेल गरम करें। इसमें ड्रमस्टिक के पत्ते, नमक डाले, मिलाए और कढ़ाई को ढक ले. पत्तो के नरम होने तक पकाए। इसमें 2 से 3 मिनट लगेंगे।', 'हो जाने के बाद, गैस बंद करें और ड्रमस्टिक के पत्तो को अलग से रख ले.', 'एक प्रेशर कुकर में घी गरम करें। इसमें हींग, जीरा डाले और जीरा के तड़कने तक पकाए।', 'अब इसमें टमाटर, अदरक, हरी मिर्च, धनिया पाउडर, हल्दी पाउडर, लाल मिर्च पाउडर डाले और 1 मिनट तक पका ले.', '1 मिनट के बाद मसूर दाल पानी के साथ डाले, मिलाए और कुकर बंद कर दे. 3 सिटी आने तक पकाए, आंच धीमी करें और 5 मिनट तक पकने दे.', '5 मिनट के बाद, गैस बंद कर दे और प्रेशर अपने आप निकलने दे. कुकर खोले, इसमें पके हुए ड्रमस्टिक के पत्ते डाले, निम्बू डाले, मिलाए और परोसे।', 'मोरिंगा मसूर दाल रेसिपी\xa0को कद्दू शिमला मिर्च, चावल और फुल्के के साथ दिन के खाने के लिए परोसे.']"
तुवर नी दाल रेसिपी - Parsi Toovar Dal Recipe ,Diet: High Protein Vegetarian,Course: Main Course,"तुवर नी दाल रेसिपी एक स्वादिष्ट दाल है जिसे पारसी घरो में अक्सर बनाया जाता है. इस डिश में तुवर दाल के साथ मसाले, अदरक, लहसुन, प्याज और टमाटर का प्रयोग किया जाता है जो इस दाल को एक अलग फ्लेवर देता है. यह एक आसान दाल है इसलिए आप इसे अपने रोज के खाने के लिए बना सकते है. ",['Cuisine: Parsi Recipes'],4.9,"['गुजराती दाल रेसिपी\xa0', 'दाल तड़का रेसिपी\xa0', 'खंदेशी दाल रेसिपी\xa0']","['नमक', 'अरहर दाल', 'हल्दी पाउडर', 'प्याज', 'टमाटर', 'घी', 'हरा धनिया', 'हरी मिर्च', 'अदरक', 'लहसुन', 'जीरा', 'धनिये के बीज', 'सुखी लाल मिर्च', 'दाल चीनी', 'लॉन्ग', 'पूरी काली मिर्च', 'खुस खुस', 'घी', 'जीरा']",10 M, 20 M, 30 M, 4 Servings,"['तुवर नी दाल रेसिपी बनाने के लिए सबसे पहले तुवर दाल को 2 कप पानी में धो कर भिगो ले।', 'मसाला बनाने के लिए, एक मिक्सर ग्राइंडर में हरा धनिया, हरी मिर्च, अदरक, लहसुन, सुखी लाल मिर्च, जीरा, धनिये के बीज, दालचीनी, लॉन्ग, पूरी काली मिर्च, खुस खुस डाले और पेस्ट बना ले.', 'एक प्रेशर कुकर में घी गरम करें। इसमें प्याज डाले और उनके सुनहरे भूरा होने तक पका ले. इसमें टमाटर डाले और उनके पक जाने तक पकाए। इसमें कम से कम 5 मिनट लगेंगे।', 'इसमें अब पिसा हुआ मसाला डाले और 10 मिनट तक पका ले.', '10 मिनट के बाद इसमें दाल के साथ 1 कप पानी डाले और कुकर बंद कर दे. 4 से 5 सिटी आने तक पकाए और कुकर बंद कर दे.', 'प्रेशर अपने आप निकलने दे. दाल को एक बाउल में निकाल ले.', 'तड़के के लिए, एक तड़का पैन में घी गरम करें। इसमें जीरा डाले, 15 सेकण्ड्स तक पकाए और गैस बंद कर दे.', 'इस तड़के को दाल में डाले, मिलाए और परोसे।\xa0तुवर नी दाल रेसिपी\xa0को\xa0भिंडी मसाला,\xa0कचुम्बर सलाद\xa0और\xa0फुल्के\xa0के साथ दिन के खाने के लिए परोसे।']"
Aar Macher Jhol Recipe - Bengali Fish Curry,Diet: High Protein Non Vegetarian,Course: Lunch,Aar Macher Jhol is a Bengali Fish curry prepared with Aar/Rohu/Katla fish. The gravy is such an uncomplicated gravy which can be prepared in a jiffy with the items available in the pantry and tastes best with Steamed white rice.,['Cuisine: Bengali Recipes'],4.9,"['Goan Lady Fish Curry Recipe', 'Meen Peera Recipe', 'Kerala Style Fish Curry Recipe']","['Aar Maach (fish)', 'Tomato', 'Bay leaf (tej patta)', 'Ginger Garlic Paste', 'Green Chillies', 'Cumin seeds (Jeera)', 'Coriander Powder (Dhania)', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Mustard oil', 'Salt', 'Water', 'Coriander (Dhania) Leaves']",10 M, 40 M, 50 M, 2 Servings,"['To begin making the Aar Macher Jhol Recipe, wash and clean fish pieces twice with water. Ensure they are properly cleaned.', 'Add salt and turmeric powder to the cleaned fish pieces. Marinate it and set aside.', 'Leave the fish marination for about 2 hours.', 'In a heavy bottomed pan, add the required oil and heat over medium heat. Fry the fish pieces and fry until they turn lightly brown. The fish pieces should be half cooked.', 'In the medium sized wok/kadhai, add the remaining oil and heat over medium heat.', 'Once the oil is hot, add cumin seeds and bay leaf. Let it crackle.', 'Add chopped tomatoes and cook until they become mushy.\xa0To the mushy tomatoes, add red chilli powder, coriander powder and ginger garlic paste.', 'Cook until the raw smell goes off and the spice powders are absorbed by the tomatoes.\xa0Add water as per your required consistency and bring it to boil.', 'Once the water starts boiling, add the fried fish pieces and cook them over low flame.', 'Slit the green chillies and add them to the curry.\xa0Once the fishes are cooked completely and the curry reaches required consistency, season it with salt and switch off the flame', 'Ensure the curry is cooked over medium flame once the fish pieces are added. If fish is overcooked, it might dissolve in the curry.', 'Garnish with coriander leaves and serve warmly.\xa0Prepare Aar Macher Jhol and serve it\xa0along with\xa0Steamed Rice\xa0and\xa0Begun Bhaja\xa0for your everyday meals.']"
